Serial_number,Muhavara,Meaning,Example
404,गड़े मुर्दे उखाड़ना,दबी हुई बात फिर से उभारना,"- जो हुआ सो हुआ, अब गड़े मुर्दे उखारने से क्या लाभ ?"
405,गागर में सागर भरना,एक रंग -ढंग पर न रहना,- उसका क्या भरोसा वह तो गिरगिट की तरह रंग बदलता है।
406,गुल खिलना,"नयी बात का भेद खुलना, विचित्र बातें होना","- सुनते रहिये, देखिये अभी क्या गुल खिलेगा।"
407,गिरगिट की तरह रंग बदलना,बातें बदलना,- गिरगिट की तरह रंग बदलने से तुम्हारी कोई इज्जत नहीं करेगा।
408,गाल बजाना,डींग हाँकना,"- जो करता है, वही जानता है। गाल बजानेवाले क्या जानें ?"
409,गिन-गिनकर पैर रखना,"सुस्त चलना, हद से ज्यादा सावधानी बरतना","- माना कि थक गये हो, मगर गिन-गिनकर पैर क्या रख रहे हो ?          शाम के पहले घर पहुँचना है या नहीं ?"
410,गुस्सा पीना,क्रोध दबाना,"- गुस्सा पीकर रह गया। चाचा का वह मुँहलगा न होता, तो उसकी गत बना छोड़ता।"
411,गूलर का फूल होना,लापता होना,- वह तो ऐसा गूलर का फूल हो गया है कि उसके बारे में कुछ कहना मुश्किल है।
412,गुदड़ी का लाल,गरीब के घर में गुणवान का उत्पत्र होना,- अपने वंश में प्रेमचन्द सचमुच गुदड़ी के लाल थे।
413,गाँठ में बाँधना,खूब याद रखना ,"- यह बात गाँठ में बाँध लो, तन्दुरुस्ती रही तो सब रहेगा।"
414,गुड़ गोबर करना,बनाया काम बिगाड़ना,- वीरू ने जरा-सा बोलकर सब गुड़-गोबर कर दिया।
415,गुरू घंटाल,दुष्टों का नेता या सरदार,"- अरे भाई, मोनू तो गुरू घंटाल है, उससे बचकर रहना।"
416,गंगा नहाना,अपना कर्तव्य पूरा करके निश्चिन्त होना,- रमेश अपनी बेटी की शादी करके गंगा नहा गए।
417,गच्चा खाना,धोखा खाना,"- रामू गच्चा खा गया, वरना उसका कारोबार चला जाता।"
418,गजब ढाना,कमाल करना,- लता मंगेशकर ने तो गायकी में गजब ढा दिया हैं।
419,गज भर की छाती होना-,अत्यधिक साहसी होना,-  उसकी गज भर की छाती है तभी                     तो अकेले ने ही चार-चार आतंकवादियों को मार दिया।
420,गढ़ फतह करना,कठिन काम करना,- आई.ए.एस. पास करके शंकर ने सचमुच गढ़ फतह कर लिया।
421,गधा बनाना,मूर्ख बनाना, अप्रैल फूल डे वाले दिन मैंने रामू को खूब गधा बनाया।
422,गधे को बाप बनाना,काम निकालने के लिए मूर्ख की खुशामद करना,- रामू गधे  को बाप बनाना                 अच्छी तरह जानता हैं।
423,गर्दन ऐंठी रहना,घमंड या अकड़ में रहना,- सरकारी नौकरी लगने के बाद तो उसकी गर्दन ऐंठी                ही रहती हैं।
424,गर्दन फँसना,झंझट या परेशानी में फँसना,- उसे रुपया उधार देकर मेरी तो गर्दन फँस गई हैं।
425,गरम होना,क्रोधित होना,- अंजू की दादी जरा-जरा सी बात पर गरम हो जाती हैं।
426,गला काटना,किसी की ठगना,- कल अध्यापक ने बताया कि किसी का गला काटना बुरी बात हैं।
427,गला पकड़ना,किसी को जिम्मेदार ठहराना,"- गलती चाहे किसी की हो, पिताजी मेरा ही गला पकड़ते हैं।"
428,गला फँसाना,मुसीबत में फँसाना,- अपराध उसने किया हैं और गला मेरा फँसा दिया हैं। बहुत चतुर है वो!
429,गला फाड़ना,जोर से चिल्लाना,"- राजू कब से गला फाड़ रहा है कि चाय पिला दो, पर कोई सुनता ही नहीं।"
430,गले पड़ना,पीछे पड़ना,"- मैंने उसे एक बार पैसे उधार क्या दे दिए, वह तो गले ही पड़ गया।"
431,गले पर छुरी चलाना,अत्यधिक हानि पहुँचाना,- उसने मुझे नौकरी से बेदखल करा के मेरे गले               पर छुरी चला दी।
432,गले न उतरना,पसन्द नहीं आना,"- मुझे उसका काम गले हीं उतरता, वह हर काम उल्टा करता हैं।"
433,"गाँठ का पूरा, आँख का अंधा","धनी, किन्तु मूर्ख व्यक्ति","- सेठ जी गाँठ के पूरे, आँख के अंधे हैं           तभी रामू का कहना मानकर अनाड़ी मोहन को नौकरी पर रख लिया हैं।"
434,गाजर-मूली समझना,तुच्छ समझना,"- मोहन ने कहा कि उसे कोई गाजर-मूली न समझे, वह           बहुत कुछ कर सकता है।"
435,गाढ़ी कमाई,मेहनत की कमाई,"- ये मेरी गाढ़ी कमाई है, अंधाधुंध खर्च मत करो।"
436,गाढ़े दिन,संकट का समय,- रमेश गाढ़े दिनों में भी खुश रहता है।
437,गाल फुलाना,रूठना,- अंशु सुबह से ही गाल फुलाकर बैठी हुई है।
438,गुजर जाना,मर जाना,- मेरे दादाजी तो एक साल पहले ही गुजर गए और तुम आज पूछ रहे हो।
439,गुल खिलाना,बखेड़ा खड़ा करना,- यह लड़का जरूर कोई गुल खिला कर आया है तभी चुप बैठा है।
440,गुलछर्रे उड़ाना,मौजमस्ती करना,"- मित्र, परीक्षाएँ नजदीक हैं और तुम गुलछर्रे उड़ा रहे हो।"
441,गूँगे का गुड़,वर्णनातीत अर्थात जिसका वर्णन न किया जा सके,"- दादाजी कहते हैं कि ईश्वर          के ध्यान में जो आनंद मिलता है, वह तो गूँगे का गुड़ है।"
442,गोता मारना,गायब या अनुपस्थित होना,"- अरे मित्र! तुमने दो दिन कहाँ गोता मारा, नजर नहीं आए।"
443,गोली मारना,त्याग देना या ठुकरा देना,"- रंजीत ने कहा कि बस को गोली मारो, हम तो पैदल जायेंगे।"
444,गौं का यार,मतलब का साथी,"- रमेश तो गौं का यार है, वो बेमतलब तुम्हारा काम नहीं करेगा।"
445,गोद भरना,"संतान होना, विवाह से पूर्व कन्या के आँचल में नारियल आदि सामान देकर विवाह पक्का करना","-   सुरेश की बहन का गोद भर गई है, अब अगले माह शादी होनी है।"
446,गोद लेना,"दत्तक बनाना, अपना पुत्र न होने पर किसी बच्चे को विधिवत अपना पुत्र बनाना",- महिमा दीदी के जब कोई संतान नहीं हुई तो उन्होंने एक बच्चा गोद लिया।
447,गोद सूनी होना,संतानहीन होना,- जब तुम्हारी गोद सूनी है तो किसी बच्चे को गोद क्यों नहीं ले लेते ?
448,गोबर गणेश,मूर्ख,"- वह तो एकदम गोबर गणेश है, उसकी समझ में कुछ नहीं आता।"
449,गोलमाल करना,काम बिगाड़ना/गड़बड़ करना,- मुंशी जी ने सेठ जी का सारे हिसाब-किताब का गोलमाल कर दिया।
450,गंगाजली उठाना,हाथ में गंगाजल से भरा पात्र लेकर शपथपूर्वक कहना,- मैंने गंगाजली उठा ली तो भी उसे मेरी बात पर यकीन नहीं हुआ।
451,गाल बजाना-,डींग मारना,
452,काल के गाल में जाना-,मृत्यु के मुख में पड़ना,
453,गंगा लाभ होना-,मर जाना,
454,गीदड़भभकी-,मन में डरते हुए भी ऊपर से दिखावटी क्रोध करना,
455,गुड़ियों का खेल-,सहज काम,
456,गतालखाते में जाना-,नष्ट होना,
457,गाढ़े में पड़ना-,संकट में पड़ना,
458,गोटी लाल होना-,लाभ होना,
459,गढ़ा खोदना-,हानि पहुँचाने का उपाय करना,
460,गूलर का कीड़ा-,सीमित दायरे में भटकना,
461,घर का न घाट का,कहीं का नहीं,- कोई काम आता नही और न लगन ही है कि कुछ सीखे-पढ़े।                    ऐसा घर का न घाट का जिये                      तो कैसे जिये।
462,घाव पर नमक छिड़कना,दुःख में दुःख देना,"- राम वैसे ही दुखी है, तुम उसे परेशान करके घाव                      पर नमक छिड़क रहे हो।"
463,घोड़े बेचकर सोना,बेफिक्र होना,"- बेटी तो ब्याह दी। अब क्या, घोड़े बेचकर सोओ।"
464,घड़ो पानी पड़ जाना,अत्यन्त लज्जित होना ,- वह हमेशा फस्ट क्लास लेता था मगर इस                    बार परीक्षा में                     चोरी करते समय रँगे हाथ पकड़े जाने पर बच्चू पर घोड़े पड़ गया।
465,घी के दीए जलाना,अप्रत्याशित लाभ पर प्रसत्रता,"- जिससे तुम्हारी बराबर ठनती रही, वह बेचारा कल शाम           कूच कर गया। अब क्या है,           घी के दीये जलाओ।"
466,घर बसाना,विवाह करना,"- उसने घर क्या बसाया, बाहर निकलता ही नहीं।"
467,घात लगाना,मौका ताकना,"- वह चोर दरवान इसी दिन के लिए तो घात लगाये था, वर्ना विश्र्वास का ऐसा रँगीला नाटक खेलकर         सेठ की तिजोरी-चाबी तक कैसे समझे रहता ?"
468,घाट-घाट का पानी पीना,हर प्रकार का अनुभव होना,"- मुन्ना घाट-घाट का पानी पिए हुए है, उसे कौन           धोखा दे सकता है।"
469,घर आबाद करना,विवाह करना,"- देर से ही सही, रामू ने अपना घर आबाद कर लिया।"
470,घर का उजाला,सुपुत्र अथवा इकलौता पुत्र,- सब जानते हैं कि मोहन अपने घर का उजाला हैं।
471,घर काट खाने दौड़ना,सुनसान घर,- घर में कोई नहीं है इसलिए मुझे घर काट खाने को दौड़ रहा है।
472,घर का चिराग गुल होना,पुत्र की मृत्यु होना,- यह सुनकर बड़ा दुःख हुआ कि मेरे मित्र के घर           का चिराग गुल हो गया।
473,घर का बोझ उठाना,घर का खर्च चलाना या देखभाल करना,- बचपन में ही अपने पिता के मरने के           बाद राकेश घर का बोझ उठा रहा है।
474,घर का नाम डुबोना,परिवार या कुल को कलंकित करना,- रामू ने चोरी के जुर्म में जेल जाकर घर का नाम डुबो दिया।
475,घर घाट एक करना,कठिन परिश्रम करना,- नौकरी के लिए संजय ने घर घाट एक कर दिया।
476,घर फूँककर तमाशा देखना,अपना घर स्वयं उजाड़ना या अपना नुकसान खुद करना,- जुए में सब कुछ           बर्बाद करके राजू अब घर फूँक के तमाशा देख रहा है।
477,घर में आग लगाना,परिवार में झगड़ा कराना,- वह तो सबके घर में आग लगाता फिरता हैं           इसलिए उसे कोई अपने पास नहीं बैठने देता।
478,घर में भुंजी भाँग न होना,बहुत गरीब होना,- रामू के घर में भुंजी भाँग नहीं हैं और बातें करता है नवाबों की।
479,घाव पर मरहम लगाना,सांत्वना या तसल्ली देना,"- दादी पहले तो मारती है, फिर घाव पर मरहम लगाती है।"
480,घाव हरा होना,भूला हुआ दुःख पुनः याद आना,- राजा ने अपने मित्र के मरने की खबर सुनी तो            उसके अपने घाव हरे हो गए।
481,घास खोदना,तुच्छ काम करना,- अच्छी नौकरी छोड़ के राजू अब घास खोद रहा है।
482,घास न डालना,सहायता न करना या बात तक न करना,- मैनेजर बनने के बाद राजू अब मुझे घास नहीं डालता।
483,घी-दूध की नदियाँ बहना,समृद्ध होना,- श्रीकृष्ण के युग में हमारे देश में घी-दूध की नदियाँ बहती थीं।
484,घुटने टेकना,हार या पराजय स्वीकार करना,"- संजू इतनी जल्दी घुटने टेकने वाला नहीं है, वह अंतिम साँस तक            प्रयास करेगा।"
485,घोड़े पर सवार होना,वापस जाने की जल्दी में होना,"- अरे मित्र, तुम तो सदैव घोड़े पर सवार होकर आते हो,            जरा हमारे पास भी बैठो।"
486,घोलकर पी जाना,कंठस्थ याद करना,- रामू दसवीं में गणित को घोलकर पी गया था तब उसके 90 प्रतिशत            अंक आए हैं।
487,घनचक्कर,मूर्ख/आवारागर्द,"- किस घनचक्कर को मेरे पास लाए हो, इसे तो बात करने की भी तमीज नहीं है।"
488,घपले  में पड़ना,किसी काम का खटाई में पड़ना,- लोन के कागज पूरे न होने के कारण लोन स्वीकृति का मामला घपले में पड़ गया है।
489,घर उजड़ना,गृहस्थी चौपट हो जाना,"- रामनायक की दुर्घटना में मृत्यु क्या हुई, दो महीने में ही उसका सारा घर उजड़ गया।"
490,घिग्घी बँध जाना,डर के कारण आवाज न निकलना,- वैसे तो रोहन अपनी बहादुरी की बहुत डींगे मारता है पर कल रात एक चोर को देखकर उसकी घिग्घी बँध गई।
491,घुट-घुट कर मरना,असहय कष्ट सहते हुए मरना,- गरीबों पर अत्याचार करने वाले घुट-घुट कर मरेंगे।
492,घुटा हुआ,छँटा हुआ बदमाश,- प्रमोद पर विश्वास मत करना एकदम घुटा हुआ है।
493,घर का मर्द-,बाहर डरपोक,
494,घर का आदमी-,"कुटुम्ब, इष्ट-मित्र",
495,घातपर चढ़ना-,तत्पर रहना,
496,चल बसना,मर जाना,- बेचारे का बेटा भरी जवानी में चल बसा।
497,चार चाँद लगाना,चौगुनी शोभा देना,- निबन्धों में मुहावरों का प्रयोग करने से चार चाँद लग जाता है।
498,चिकना घड़ा होना,बेशर्म होना,- तुम ऐसा चिकना घड़ा हो तुम्हारे ऊपर कहने सुनने का कोई असर नहीं पड़ता।
499,चिराग तले अँधेरा,पण्डित के घर में घोर मूर्खता आचरण ,"- पण्डितजी स्वयं तो बड़े विद्वान है, किन्तु उनके लड़के को                        चिराग तले अँधेरा ही जानो।"
500,चैन की बंशी बजाना,मौज करना,- आजकल राम चैन की बंशी बजा रहा है।
501,चार दिन की चाँदनी,थोड़े दिन का सुख,"- राजा बलि का सारा बल भी जब चार दिन की चाँदनी ही रहा, तो तुम किस खेत की मूली हो ?"
502,चींटी के पर लगना या जमना,विनाश के लक्षण प्रकट होना,- इसे चींटी के पर जमना ही कहेंगे कि अवतारी राम से रावण बुरी तरह पेश आया।
503,चूँ न करना,"सह जाना, जवाब न देना","- वह जीवनभर सारे दुःख सहता रहा, पर चूँ तक न की।"
504,चादर से बाहर पैर पसारना,आय से अधिक व्यय करना,- डेढ़ सौ ही कमाते हो और इतनी खर्चीली लतें पाल रखी है।         चादर के बाहर पैर पसारना कौन-सी अक्लमन्दी है ?
505,चाँद पर थूकना,व्यर्थ निन्दा या सम्माननीय का अनादर करना,"- जिस भलेमानस ने कभी किसी का कुछ नहीं बिगाड़ा, उसे ही तुम बुरा-भला कह रहे हो ?भला,          चाँद पर भी थूका जाता है ?"
506,चूड़ियाँ पहनना,स्त्री की-सी असमर्थता प्रकट करना,- इतने अपमान पर भी चुप बैठे हो! चूड़ियाँ तो नहीं पहन रखी है तुमने ?
507,चहरे पर हवाइयाँ उड़ना,"डरना, घबराना",- साम्यवाद का नाम सुनते ही पूँजीपतियों के चेहरे पर हवाइयाँ उड़ने लगती है।
508,चाँदी काटना,खूब आमदनी करना,- कार्यालय में बाबू लोग खूब चाँदी काट रहे है।
509,चम्पत हो जाना,भाग जाना,- जब काम करने की बारी आई तो राजू चंपत हो गया।
510,चकमे में आना,धोखे में पड़ना,"- किशोर किसी के चकमे में आने वाला नहीं है, वह बहुत समझदार है।"
511,चकमा देना,धोखा देना,- वह बदमाश मुझे धोखा देकर भाग गया।
512,चक्कर में आना,फंदे में फँसना,- मुझसे गलती हो गई जो मैं उस ठग के चक्कर में फँस गया।
513,चना-चबैना,रूखा-सूखा भोजन,- आजकल रामू चना-चबैना खाकर गुजारा कर रहा हैं।
514,चपत पड़ना,हानि अथवा नुकसान होना,- नया मकान खरीदने में रमेश को 20 हजार की चपत पड़ी।
515,चमक उठना,उन्नति करना,"- रामू ने जीवन में बहुत परिश्रम किया है, अब वह चमक उठा है।"
516,चमड़ी उधेड़ना या खींचना,बहुत पीटना,"- राजू, तुमने दुबारा मुँह खोला तो मैं तुम्हारी चमड़ी उधेड़ दूँगा।"
517,चरणों की धूल,तुच्छ व्यक्ति,"- हे प्रभु! मैं तो आपके चरणों की धूल हूँ, मुझ पर दया करो।"
518,चलता पुर्जा,चालाक,"- रवि चलता पुर्जा है, उससे बचकर रहना ही अच्छा है।"
519,चस्का लगना,बुरी आदत,- धीरू को धूम्रपान का बहुत बुरा चस्का लग गया है।
520,चाँद का टुकड़ा,बहुत सुन्दर,"- रामू का पुत्र तो चाँद का टुकड़ा है, वह उसे प्रतिदिन काला टीका लगाता है।"
521,चाँदी कटना,खूब लाभ होना,- आजकल रामरतन की कारोबार में चाँदी कट रही है।
522,चाँदी ही चाँदी होना,खूब धन लाभ होना,- अरे मित्र! यदि तुम्हारी ये दुकान चल गई तो चाँदी ही चाँदी हो जाएगी।
523,चाँदी का जूता,घूस या रिश्वत,"- जब रामू ने लाइन में लगे बिना अपना काम करा लिया तो उसने    मुझसे कहा- तुम भी चाँदी का जूता मारो और काम करा लो, लाइन में क्यों लगे हो?"
524,चाट पड़ना,आदत पड़ना,"- रानी को तो चाट पड़ गई है, वह बार-बार पैसा उधार माँगने आ जाती है।"
525,चादर देखकर पाँव पसारना,आमदनी के अनुसार खर्च करना,"- पिताजी ने मुझसे कहा कि आदमी को चादर देखकर पाँव पसारने चाहिए, वरना उसे पछताना पड़ता है।"
526,चादर के बाहर पैर पसारना,आय से अधिक व्यय करना,- जो लोग चादर के बाहर पैर पसारते हैं हमेशा तंगी का ही   अनुभव करते रहते हैं।
527,चार सौ बीस,कपटी एवं धूर्त व्यक्ति,"- मुन्ना चार सौ बीस है, इसलिए सब उससे दूर रहते हैं।"
528,चार सौ बीसी करना,छल-कपट या धोखा करना,"- मित्र, तुम मुझसे चार सौ बीसी मत करना, वर्ना अच्छा नहीं होगा।"
529,चिकनी-चुपड़ी बातें,धोखा देने वाली बातें,- एक व्यक्ति चिकनी-चुपड़ी बातें करके रामू की माँ को ठग ले गया।
530,चिड़िया उड़ जाना,चले जाना या गायब हो जाना,"- अरे भाई, कब से तुमसे कहा था कि शहद अच्छा है, ले लो। अब तो  चिड़िया उड़ गई। जाओ अपने घर।"
531,चिड़िया फँसाना,किसी को धोखे से अपने वश में करना,"- जब परदेस में एक आदमी मुझे फुसलाने लगा तो मैंने उससे कहा- अरे भाई, अपना काम करो। ये चिड़िया फँसने वाली नहीं है।"
532,चिनगारी छोड़ना,लड़ाई-झगड़े वाली बात करना,- राजू ने ऐसी चिनगारी छोड़ी कि दो मित्रों में झगड़ा हो गया।
533,चिराग लेकर ढूँढना,बहुत छानबीन या तलाश करना,"- मैंने माँ से कहा कि राजू जैसा मित्र तो चिराग लेकर ढूँढ़ने से भी नहीं मिलेगा, इसलिए मैं उसे अपने घर लाया हूँ।"
534,चिल्ल-पौं मचना,शोरगुल होना,- जब कक्षा में अध्यापक नहीं होते तो चिल्ल-पौं मच जाती है।
535,चीं बोलना,हार मान लेना,- आज राजू कबड्डी में चीं बोल गया।
536,चींटी के पर निकलना,मृत्यु के निकट पहुँचना,"- रामू ने जब ज्यादा आतंक मचाया तो मैंने कहा- लगता है,  अब चींटी के पर निकल आए हैं।"
537,चुटकी लेना,हँसी उड़ाना,- जब रमेश डींग मारता है तो सभी उसकी चुटकी लेते हैं।
538,चुटिया हाथ में लेना,पूर्णरूप से नियंत्रण में होना,"- मित्र, उस बदमाश की चुटिया मेरे हाथ में हैं। तुम फिक्र मत करो।"
539,चुल्लू भर पानी में डूब मरना,अत्यन्त लज्जित होना,- जब सबके सामने राजू का झूठ पकड़ा गया तो    उसके लिए चुल्लू भर पानी में डूब मरने वाली बात हो गई।
540,चूना लगाना,ठगना,- कल एक अनजान आदमी गोपाल को 100 रुपए का चूना लगा गया।
541,चूहे-बिल्ली का बैर,स्वाभाविक विरोध,- राम और मोहन में तो चूहे-बिल्ली का बैर है। दोनों भाई हर समय झगड़ते रहते हैं।
542,चेहरे का रंग उड़ना,निराश होना,- जब रानी को परीक्षा में फेल होने की सूचना मिली तो उसके चेहरे का रंग उड़ गया।
543,चेहरा खिलना,खुश होना,- जब अमित दसवीं में उत्तीर्ण हो गया तो उसका चेहरा खिल गया।
544,चेहरा तमतमाना,बहुत क्रोध आना,- जब बच्चे कक्षा में शोर मचाते हैं तो अध्यापक का चेहरा तमतमा जाता हैं।
545,चैन की वंशी बजाना,सुख से समय बिताना,- मेरा मित्र डॉक्टर बनकर चैन की वंशी बजा रहा हैं।
546,चोटी और एड़ी का पसीना एक करना,खूब परिश्रम करना,- मुकेश ने नौकरी के लिए चोटी और एड़ी का    पसीना एक कर दिया हैं।
547,चोली-दामन का साथ,काफी घनिष्ठता,- धीरू और वीरू का चोली-दामन का साथ है।
548,चोटी पर पहुँचना,बहुत उन्नति करना,- अध्यापक ने कक्षा में कहा कि चोटी पर पहुँचने के लिए व्यक्ति को अथक परिश्रम करना पड़ता है।
549,चोला छोड़ना,शरीर त्यागना,- गाँधीजी ने चोला छोड़ते समय 'हे राम' कहा था।
550,चंडू खाने की,निराधार बात,- मेरे सामने तुम चंडूखाने की मत सुनाया करो। मुझे तुम्हारी किसी भी बात पर यकीन नहीं है।
551,चट कर जाना,सबका सब खा जाना,"- वह तीन दिन से भूखा था, सारा खाना एकदम चट कर गया।"
552,चप्पा-चप्पा छान डालना,हर जगह जाकर देख आना,- पुलिस ने जंगल का चप्पा-चप्पा छान मारा लेकिन चोरों का सुराग न मिला।
553,चरबी चढ़ना,मदांध होना,"- लॉटरी लगते ही प्रमोद पर चरबी चढ़ गई है, दूसरों को कुछ समझता ही नहीं है।"
554,चहल-पहल होना,रौनक होना,- दिवाली के कारण आज बाजार में बहुत चहल-पहल है।
555,चाकरी बजाना,सेवा करना,- रामकमल ने अपने अधिकारी की खूब चाकरी बजाई फिर भी उसका प्रमोशन न हो सका।
556,चिल्ले का जाड़ा,बहुत भयंकर ठंड,- जनवरी माह में दिल्ली में चिल्ले का जाड़ा पड़ता है। अगर इन्हीं दिनों जाना पड़े तो गरम कपड़े लेकर जाना।
557,चुगली खाना/लगाना,पीछे-पीछे निंदा करना,- जो लोग पीछे-पीछे दूसरों की चुगली लगाते/खाते हैं उनकी पोल जल्दी ही खुल जाती है।
558,चुटकी बजाते-बजाते,चटपट,"- आपका यह काम तो मैं चुटकी बजाते-बजाते पूरा कर दूँगा, आप चिंता न करें।"
559,चूँ-चूँ का मुरब्बा,बेमेल चीजों का योग,- यह पार्टी तो चूँ-चूँ का मुरब्बा है। न जाने इस पार्टी में कहाँ-कहाँ के लोग शामिल हैं।
560,चूर चूर कर देना,नष्ट करना,- कारगिल युद्ध में भारतीय सेना ने पाकिस्तान का घमंड चूर-चूर कर दिया था।
561,चूल्हा जलना,खाना बनना,- रामेश्वर के यहाँ इतनी तंगी है कि दो दिन से घर में चूल्हा तक नहीं जला है।
562,चौखट पर माथा टेकना,अनुनय-विनय करना,"- वैष्णोदेवी की चौखट पर जाकर माथा टेको, तभी कष्ट दूर होंगे।"
563,चल निकलना-,"प्रगति करना, बढ़ना",
564,चिकने घड़े पर पानी पड़ना-,उपदेश का कोई प्रभाव न पड़ना,
565,चुनौती देना-,ललकारना,
566,चण्डूखाने की गप-,झूठी गप,
567,चींटी के पर जमना-,ऐसा काम करना जिससे हानि या मृत्यु हो,
568,चाचा बनाना-,दण्ड देना,
569,छक्के छूटना,बुरी तरह पराजित होना,- महाराजकुमार विजयनगरम की विकेट-कीपरी में अच्छे-अच्छे बॉलर के छक्के छूट चुके है।
570,छप्पर फाडकर देना,बिना मेहनत का अधिक धन पाना,"- ईश्वर जिसे देता है, उसे छप्पर फाड़कर देता है।"
571,छाती पर पत्थर रखना,कठोर ह्रदय,- उसने छाती पर पत्थर रखकर अपने पुत्र को विदेश भेजा था।
572,छाती पर सवार होना,आ जाना,- अभी वह बात कर रही थी कि बच्चे उसके छाती पर सवार हो गए।
573,छक्के छुड़ाना,हौसला पस्त करना या हराना,- शिवाजी ने युद्ध में मुगलों के                               छक्के छुड़ा दिए थे।
574,छाती पर मूँग या कोदो दलना,किसी को कष्ट देना,- राजन के घर रानी दिन-रात उसकी विधवा                              माँ की छाती पर मूँग दल रही है।
575,छाती पर साँप लोटना,ईर्ष्या से हृदय जलना,- जब पड़ोसी ने नई कार ली तो शेखर की छाती                             पर साँप लोट गया।
576,छठी का दूध याद आना,बहुत कष्ट आ पड़ना,- मैंने जब अपना मकान बनवाया तो मुझे छठी का दूध                           याद आ गया।
577,छठे छमासे,कभी-कभार,- चुनाव जीतने के बाद नेता लोग छठे-छमासे ही नजर आते हैं।
578,छत्तीस का आँकड़ा,घोर विरोध,- मुझमें और मेरे मित्र में आजकल छत्तीस का आँकड़ा है।
579,छाती पीटना,मातम मनाना,- अपने किसी संबंधी की मृत्यु पर मेरे पड़ोसी छाती पीट रहे थे।
580,छाती जलना,ईर्ष्या होना,- जब भवेश दसवीं में फर्स्ट क्लास आया तो उसके विरोधियों की छाती जल गई।
581,छाती दहलना,"डरना, भयभीत होना",- अंधेरे हॉल में कंकाल देखकर मोहन की छाती दहल गई।
582,छाती दूनी होना,अत्यधिक उत्साहित होना,- जब रोहन बारहवीं कक्षा में प्रथम आया तो कक्षा अध्यापक                           की छाती दूनी हो गई।
583,छाती फूलना,गर्व होना,- जब मैंने एम.ए. कर लिया तो मेरे अध्यापक की छाती फूल गई।
584,छाती सुलगना,ईर्ष्या होना,- किसी को सुखी देखकर मेहता जी की तो छाती सुलग उठती है।
585,छिपा रुस्तम,अप्रसिद्ध गुणी,- वरुण तो छिपा रुस्तम निकला। सब देखते रह गए और परीक्षा में उसी ने पहला                           स्थान प्राप्त कर लिया।
586,छींका टूटना,अनायास लाभ होना,"- अरे, उसकी तो लॉटरी निकल गई। इसे कहते हैं- छींका टूटना।"
587,छुट्टी पाना,झंझट या अपने कर्तव्य से मुक्ति पाना,- रामपाल जी अपनी इकलौती बेटी का विवाह करके                           छुट्टी पा गए।
588,छू हो जाना या छूमंतर हो जाना,चले जाना या गायब हो जाना,"- अरे, विकास अभी तो यही था,                           अभी कहाँ छूमंतर हो गया।"
589,छोटा मुँह बड़ी बात,हैसियत से अधिक बात करना,"- अध्यापक ने विद्यार्थियों को समझाया कि हमें                           कभी छोटे मुँह बड़ी बात नहीं करनी चाहिए, वरना पछताना पड़ेगा।"
590,छलनी कर डालना,शोक-विह्वल कर देना,"- तुम्हारी जली-कटी बातों ने मेरा कलेजा छलनी कर डाला है,                           अब मुझसे बात मत करो।"
591,छाप पड़ना,प्रभाव पड़ना,- प्रोफेसर शर्मा का व्यक्तित्व ही ऐसा है। उनकी छाप सब पर                           जरूर पड़ती है।
592,छी छी करना,घृणा प्रकट करना,- तुम्हारे काले कारनामों के कारण सब लोग तुम्हारे लिए छी छी                           कर रहे हैं।
